completionCode,trialNum,itemNum,condition,Value,sentence,rating
CO470488,30,226,gram,oldukça iyi,Yeni eve kışlık ve kalın yorgan almak için biraz daha bekleyeceklermiş.,6
CO470488,31,235,gram,oldukça iyi,Nejla çizim ve boyama öğrenmek için yeni bir kursa kaydoldu.,6
CO470488,33,233,gram,kötü sayılır,Stilist mankenlerin çoğuna sırt ve bacak dekoltesini yakıştırıyor.,3
CO470488,34,236,gram,oldukça iyi,Ali'nin partide giydiği pantolon ve ceket henüz temizlenmemiş.,6
CO470488,36,201,gram,oldukça iyi,Doğum günü partisine arkadaşlarını ve akrabalarını çağırdılar.,6
CO470488,37,211,gram,oldukça iyi,Belma mağazadaki parlak ve taşlı süslemeleri biraz demode buldu.,6
CO470488,39,234,gram,oldukça iyi,Derya geçen ay peşinat ve depozito ödemeden yeni bir ev kiralamış.,6
CO470488,40,225,gram,oldukça iyi,Kamp alanına soğuk ve gazlı içecek götürmemize gerek yokmuş.,6
CO470488,42,238,gram,oldukça iyi,Leyla yıkama ve kurutma makinasının önündeki sırayı görünce geri döndü.,6
CO470488,43,116,ungram,iyi sayılır,Yavaş Hasan'ın konuşması rahatsız etmiş herkesi.,4
CO470488,45,228,gram,oldukça iyi,Lisedeki matematik ve kimya dersleri herkesin korkulu rüyasıydı.,6
CO470488,46,223,gram,oldukça iyi,Kahvaltı sofrasına sıcak ve taze ekmek olmadan oturulmaz.,6
CO470488,48,215,gram,kötü sayılır,Deniz papatyalardan ve lalerden renkli bir buket yaptırmış.,3
CO470488,49,102,ungram,kötü sayılır,Ahmet'in uskumruyu pişirmesi%2C Mehmet'in de ıstakozu duydum.,3
CO470488,51,118,ungram,kötü sayılır,Kahve zammı sonrası öğrenciler çaya yönelmek şaşırtıcı oldu.,3
CO470488,52,202,gram,oldukça iyi,Hediye çekiyle çocuklara ve yaşlılara yeni birer ayakkabı alındı.,6
CO470488,54,110,ungram,oldukça iyi,Mühendisler herkese birbirlerinin işten attıklarını anlattılar.,6
CO470488,55,229,gram,iyi,Zeynep balo günü saç ve makyaj için yeni açılan kuaföre gitmiş.,5
CO470488,57,231,gram,oldukça iyi,Zehra yeni evi için annesiyle çaydanlık ve tava seti almaya gitti.,6
CO470488,58,106,ungram,oldukça kötü,Fazla içmiş senin gibi göründüğünün farkında değilsin anlaşılan.,1
CO470488,60,214,gram,oldukça iyi,Cem tavuklara ve horozlara yeni satılan pahalı yemden almış.,6
CO470488,61,107,ungram,kötü sayılır,Bu işyeri yıllarca büyük emekler verip çalıştığımdır.,3
CO470488,63,104,ungram,kötü sayılır,Metin yeni çıkan romanı ve gazete okudu.,3
CO470488,64,108,ungram,kötü sayılır,Binalar yapılmaya yeni başlayan çalışanlar tarafından başlandı.,3
CO470488,66,212,gram,oldukça iyi,Mesut çiftlikteki koyunları ve inekleri her gün tek tek sayıyor.,6
CO470488,67,115,ungram,iyi sayılır,Kütüphaneciden öğrenciye çalışma salonunda sabahladığını duyuldu.,4
CO470488,69,105,ungram,kötü,Mehmet Ayça'ya dün akşam dedi ki birbirini işe alacak.,2
CO470488,70,117,ungram,kötü sayılır,Mimarın tecrübeli olması herkesin işini daha kolaydı.,3
CO470488,72,210,gram,oldukça iyi,Kemal gazetecilerle ve yazarlarla yaptığı toplantıda önemli bilgiler paylaşmış.,6
CO470488,73,218,gram,oldukça iyi,Yolcular kaptandan ve mürettebattan bir istekte bulunmaya çekiniyor.,6
CO470488,75,114,ungram,iyi,Ziyaretçiye göre kendisine tanınan sürenin belirlendiği biliyordu.,5
CO470488,76,232,gram,oldukça iyi,Doktorlar ağız ve burun ile alınan mikropların tehlikeli olduğunu belirtiyor.,6
CO470488,78,204,gram,oldukça iyi,Yeni düzenlemeler vatandaşları ve bakanları pek mutlu etmedi.,6
CO470488,79,103,ungram,kötü,Yarışmada ödül aldı kadar mutlu bir kızdı.,2
CO470488,81,206,gram,oldukça iyi,Çalışma masasındaki kitapları ve defterleri her zaman düzenli bırakır.,6
CO470488,82,205,gram,oldukça iyi,Düğün günü koşturmaca arasında yaşlı ve yatalak dedesi ile de vedalaştı.,6
CO470488,84,227,gram,oldukça iyi,Ayşe dikiş kutusunda iğne ve iplik kalmadığını daha yeni fark etti.,6
CO470488,85,111,ungram,iyi sayılır,Zabıtalar işportacının ceza aldıklarına duydu.,4
CO470488,87,208,gram,oldukça iyi,Metin severek kullandığı kırmızı ve kalın atkıyı geçenlerde kaybetmiş.,6
CO470488,88,119,ungram,kötü sayılır,Geminin limana yanaşmak için yavaşlamalıyım.,3
CO470488,90,222,gram,oldukça iyi,Kantindeki çay ve kahve fiyatlarına felaket bir zam yapılmış.,6
CO470488,91,203,gram,oldukça iyi,Piknik alanına yüksek ve zorlu tepeleri aşarak varmamız gerekti.,6
CO470488,93,101,ungram,kötü,Bugünkü yarışı kazanmak dostum Hasan çok istiyor.,2
CO470488,94,121,ungram,kötü sayılır,Yeni işe başlaması beri her sabah heyecanla uyanıyor.,3
CO470488,96,124,ungram,kötü sayılır,Sekreter kimsenin aradığını çoktan biliyordu.,3
CO263824,1,201,gram,iyi sayılır,Doğum günü partisine arkadaşlarını ve akrabalarını çağırdılar.,4
CO263824,2,112,ungram,kötü,Veliler için öğretmeni suçlamak kolay olduğunu düşünüyorlar.,2
CO263824,4,206,gram,iyi sayılır,Çalışma masasındaki kitapları ve defterleri her zaman düzenli bırakır.,4
CO263824,5,114,ungram,kötü,Ziyaretçiye göre kendisine tanınan sürenin belirlendiği biliyordu.,2
CO263824,7,202,gram,iyi sayılır,Hediye çekiyle çocuklara ve yaşlılara yeni birer ayakkabı alındı.,4
CO263824,8,209,gram,oldukça iyi,Sevda beslenme çantasındaki elmayı ve armutu çürüyene kadar bekletmiş.,6
CO263824,10,228,gram,iyi sayılır,Lisedeki matematik ve kimya dersleri herkesin korkulu rüyasıydı.,4
CO263824,11,222,gram,iyi,Kantindeki çay ve kahve fiyatlarına felaket bir zam yapılmış.,5
CO263824,13,105,ungram,kötü,Mehmet Ayça'ya dün akşam dedi ki birbirini işe alacak.,2
CO263824,14,123,ungram,kötü,Kimse doktor geldiğinde zaten şaşırdı.,2
CO263824,16,108,ungram,kötü,Binalar yapılmaya yeni başlayan çalışanlar tarafından başlandı.,2
CO263824,17,224,gram,iyi,Yeni binadaki camlı ve ferah ofis her zaman çok temiz.,5
CO263824,19,217,gram,iyi,Tamirci oldukça ağır fırını ve buzdolabını işyerine taşımak zorunda kaldı.,5
CO263824,20,232,gram,iyi,Doktorlar ağız ve burun ile alınan mikropların tehlikeli olduğunu belirtiyor.,5
CO263824,22,203,gram,iyi,Piknik alanına yüksek ve zorlu tepeleri aşarak varmamız gerekti.,5
CO263824,23,208,gram,iyi sayılır,Metin severek kullandığı kırmızı ve kalın atkıyı geçenlerde kaybetmiş.,4
CO263824,25,212,gram,iyi,Mesut çiftlikteki koyunları ve inekleri her gün tek tek sayıyor.,5
CO263824,26,118,ungram,kötü,Kahve zammı sonrası öğrenciler çaya yönelmek şaşırtıcı oldu.,2
CO263824,28,107,ungram,iyi sayılır,Bu işyeri yıllarca büyük emekler verip çalıştığımdır.,4
CO263824,29,106,ungram,kötü,Fazla içmiş senin gibi göründüğünün farkında değilsin anlaşılan.,2
CO263824,31,235,gram,iyi,Nejla çizim ve boyama öğrenmek için yeni bir kursa kaydoldu.,5
CO263824,32,122,ungram,iyi sayılır,Geçen ay egzersiz yapıp sonra pes ettiğimdir.,4
CO263824,34,205,gram,oldukça iyi,Düğün günü koşturmaca arasında yaşlı ve yatalak dedesi ile de vedalaştı.,6
CO263824,35,214,gram,iyi,Cem tavuklara ve horozlara yeni satılan pahalı yemden almış.,5
CO263824,37,221,gram,iyi sayılır,Tamir çantasındaki araç ve gereçler doğru düzgün çalışmıyor.,4
CO263824,38,102,ungram,kötü sayılır,Ahmet'in uskumruyu pişirmesi%2C Mehmet'in de ıstakozu duydum.,3
CO263824,40,119,ungram,kötü,Geminin limana yanaşmak için yavaşlamalıyım.,2
CO263824,41,234,gram,iyi,Derya geçen ay peşinat ve depozito ödemeden yeni bir ev kiralamış.,5
CO263824,43,111,ungram,iyi,Zabıtalar işportacının ceza aldıklarına duydu.,5
CO263824,44,101,ungram,kötü sayılır,Bugünkü yarışı kazanmak dostum Hasan çok istiyor.,3
CO263824,46,220,gram,iyi,Umut son olaylardan sonra saygılı ve ileri görüşlü velilerden bu tepkiyi beklemiyordu.,5
CO263824,47,103,ungram,kötü,Yarışmada ödül aldı kadar mutlu bir kızdı.,2
CO263824,49,238,gram,oldukça iyi,Leyla yıkama ve kurutma makinasının önündeki sırayı görünce geri döndü.,6
CO263824,50,213,gram,iyi,Selin televizyona ve tablete internet bağlamakta sorun yaşıyor.,5
CO263824,52,117,ungram,kötü,Mimarın tecrübeli olması herkesin işini daha kolaydı.,2
CO263824,53,237,gram,iyi sayılır,Bilge alışveriş sitesinden değişim için ödeme fişi ve makbuzu isteyecek.,4
CO263824,55,104,ungram,iyi sayılır,Metin yeni çıkan romanı ve gazete okudu.,4
CO263824,56,215,gram,oldukça iyi,Deniz papatyalardan ve lalerden renkli bir buket yaptırmış.,6
CO263824,58,236,gram,iyi,Ali'nin partide giydiği pantolon ve ceket henüz temizlenmemiş.,5
CO263824,59,223,gram,oldukça iyi,Kahvaltı sofrasına sıcak ve taze ekmek olmadan oturulmaz.,6
CO263824,61,218,gram,oldukça iyi,Yolcular kaptandan ve mürettebattan bir istekte bulunmaya çekiniyor.,6
CO263824,62,120,ungram,iyi sayılır,Arkadaşım uzun bir kahvaltı yapmayı ve dışarı çıkmak istedi.,4
CO263824,64,211,gram,iyi,Belma mağazadaki parlak ve taşlı süslemeleri biraz demode buldu.,5
CO263824,65,110,ungram,kötü sayılır,Mühendisler herkese birbirlerinin işten attıklarını anlattılar.,3
CO263824,67,207,gram,oldukça iyi,Alışveriş merkezinde gördüğü pahalı ayakkabıya ve çantaya bayılmış.,6
CO263824,68,240,gram,iyi,Pelin bu dönemi hiç ödev ve sınav kaçırmadan tamamladı.,5
CO263824,70,116,ungram,kötü sayılır,Yavaş Hasan'ın konuşması rahatsız etmiş herkesi.,3
CO263824,71,115,ungram,oldukça kötü,Kütüphaneciden öğrenciye çalışma salonunda sabahladığını duyuldu.,1
CO263824,73,231,gram,oldukça iyi,Zehra yeni evi için annesiyle çaydanlık ve tava seti almaya gitti.,6
CO263824,74,233,gram,iyi sayılır,Stilist mankenlerin çoğuna sırt ve bacak dekoltesini yakıştırıyor.,4
CO263824,76,204,gram,oldukça iyi,Yeni düzenlemeler vatandaşları ve bakanları pek mutlu etmedi.,6
CO263824,77,216,gram,oldukça iyi,Osman doktordan ve hemşireden bir haber alabilmek için saatlerce bekledi.,6
CO263824,79,225,gram,oldukça iyi,Kamp alanına soğuk ve gazlı içecek götürmemize gerek yokmuş.,6
CO263824,80,210,gram,oldukça iyi,Kemal gazetecilerle ve yazarlarla yaptığı toplantıda önemli bilgiler paylaşmış.,6
CO263824,82,226,gram,oldukça iyi,Yeni eve kışlık ve kalın yorgan almak için biraz daha bekleyeceklermiş.,6
CO263824,83,239,gram,iyi sayılır,Murat yemekhanedeki ıspanak ve pırasa yemeklerinden nefret ediyor.,4
CO263824,85,230,gram,oldukça iyi,Melek uzun ve molasız otobüs yolcukluklarını pek tercih etmediğini söyledi.,6
CO263824,86,219,gram,oldukça iyi,Toplantı boyunca müdürlerde ve öğretmenlerde gergin bir hava vardı.,6
CO263824,88,229,gram,oldukça iyi,Zeynep balo günü saç ve makyaj için yeni açılan kuaföre gitmiş.,6
CO263824,89,113,ungram,kötü sayılır,Kameramanın görüntüleri sosyal medyaya yüklemiş mi diye duydum.,3
CO263824,91,109,ungram,kötü,Çiçek veren adamın öldüğü kadına tanıyordum.,2
CO263824,92,227,gram,oldukça iyi,Ayşe dikiş kutusunda iğne ve iplik kalmadığını daha yeni fark etti.,6
CO263824,94,124,ungram,oldukça kötü,Sekreter kimsenin aradığını çoktan biliyordu.,1
CO263824,95,121,ungram,kötü,Yeni işe başlaması beri her sabah heyecanla uyanıyor.,2
CO490300,1,203,gram,oldukça iyi,Piknik alanına yüksek ve zorlu tepeleri aşarak varmamız gerekti.,6
CO490300,2,119,ungram,kötü,Geminin limana yanaşmak için yavaşlamalıyım.,2
CO490300,4,212,gram,oldukça iyi,Mesut çiftlikteki koyunları ve inekleri her gün tek tek sayıyor.,6
CO490300,5,206,gram,oldukça iyi,Çalışma masasındaki kitapları ve defterleri her zaman düzenli bırakır.,6
CO490300,7,110,ungram,kötü,Mühendisler herkese birbirlerinin işten attıklarını anlattılar.,2
CO490300,8,234,gram,iyi,Derya geçen ay peşinat ve depozito ödemeden yeni bir ev kiralamış.,5
CO490300,10,219,gram,iyi sayılır,Toplantı boyunca müdürlerde ve öğretmenlerde gergin bir hava vardı.,4
CO490300,11,121,ungram,oldukça kötü,Yeni işe başlaması beri her sabah heyecanla uyanıyor.,1
CO490300,13,108,ungram,kötü,Binalar yapılmaya yeni başlayan çalışanlar tarafından başlandı.,2
CO490300,14,236,gram,iyi,Ali'nin partide giydiği pantolon ve ceket henüz temizlenmemiş.,5
CO490300,16,209,gram,iyi,Sevda beslenme çantasındaki elmayı ve armutu çürüyene kadar bekletmiş.,5
CO490300,17,216,gram,iyi sayılır,Osman doktordan ve hemşireden bir haber alabilmek için saatlerce bekledi.,4
CO490300,19,213,gram,kötü sayılır,Selin televizyona ve tablete internet bağlamakta sorun yaşıyor.,3
CO490300,20,208,gram,iyi,Metin severek kullandığı kırmızı ve kalın atkıyı geçenlerde kaybetmiş.,5
CO490300,22,237,gram,iyi sayılır,Bilge alışveriş sitesinden değişim için ödeme fişi ve makbuzu isteyecek.,4
CO490300,23,230,gram,iyi,Melek uzun ve molasız otobüs yolcukluklarını pek tercih etmediğini söyledi.,5
CO490300,25,104,ungram,oldukça kötü,Metin yeni çıkan romanı ve gazete okudu.,1
CO490300,26,218,gram,iyi,Yolcular kaptandan ve mürettebattan bir istekte bulunmaya çekiniyor.,5
CO490300,28,122,ungram,kötü,Geçen ay egzersiz yapıp sonra pes ettiğimdir.,2
CO490300,29,107,ungram,kötü,Bu işyeri yıllarca büyük emekler verip çalıştığımdır.,2
CO490300,31,211,gram,iyi sayılır,Belma mağazadaki parlak ve taşlı süslemeleri biraz demode buldu.,4
CO490300,32,103,ungram,oldukça kötü,Yarışmada ödül aldı kadar mutlu bir kızdı.,1
CO490300,34,118,ungram,oldukça kötü,Kahve zammı sonrası öğrenciler çaya yönelmek şaşırtıcı oldu.,1
CO490300,35,233,gram,iyi,Stilist mankenlerin çoğuna sırt ve bacak dekoltesini yakıştırıyor.,5
CO490300,37,202,gram,iyi,Hediye çekiyle çocuklara ve yaşlılara yeni birer ayakkabı alındı.,5
CO490300,38,232,gram,kötü,Doktorlar ağız ve burun ile alınan mikropların tehlikeli olduğunu belirtiyor.,2
CO490300,40,114,ungram,kötü,Ziyaretçiye göre kendisine tanınan sürenin belirlendiği biliyordu.,2
CO490300,41,227,gram,iyi,Ayşe dikiş kutusunda iğne ve iplik kalmadığını daha yeni fark etti.,5
CO490300,43,238,gram,iyi,Leyla yıkama ve kurutma makinasının önündeki sırayı görünce geri döndü.,5
CO490300,44,231,gram,iyi,Zehra yeni evi için annesiyle çaydanlık ve tava seti almaya gitti.,5
CO490300,46,214,gram,iyi,Cem tavuklara ve horozlara yeni satılan pahalı yemden almış.,5
CO490300,47,106,ungram,kötü,Fazla içmiş senin gibi göründüğünün farkında değilsin anlaşılan.,2
CO490300,49,217,gram,iyi,Tamirci oldukça ağır fırını ve buzdolabını işyerine taşımak zorunda kaldı.,5
CO490300,50,101,ungram,oldukça kötü,Bugünkü yarışı kazanmak dostum Hasan çok istiyor.,1
CO490300,52,120,ungram,kötü,Arkadaşım uzun bir kahvaltı yapmayı ve dışarı çıkmak istedi.,2
CO490300,53,207,gram,iyi,Alışveriş merkezinde gördüğü pahalı ayakkabıya ve çantaya bayılmış.,5
CO490300,55,116,ungram,oldukça kötü,Yavaş Hasan'ın konuşması rahatsız etmiş herkesi.,1
CO490300,56,210,gram,iyi,Kemal gazetecilerle ve yazarlarla yaptığı toplantıda önemli bilgiler paylaşmış.,5
CO490300,58,222,gram,iyi,Kantindeki çay ve kahve fiyatlarına felaket bir zam yapılmış.,5
CO490300,59,229,gram,iyi,Zeynep balo günü saç ve makyaj için yeni açılan kuaföre gitmiş.,5
CO490300,61,105,ungram,oldukça kötü,Mehmet Ayça'ya dün akşam dedi ki birbirini işe alacak.,1
CO490300,62,235,gram,iyi sayılır,Nejla çizim ve boyama öğrenmek için yeni bir kursa kaydoldu.,4
CO490300,64,215,gram,iyi,Deniz papatyalardan ve lalerden renkli bir buket yaptırmış.,5
CO490300,65,205,gram,iyi,Düğün günü koşturmaca arasında yaşlı ve yatalak dedesi ile de vedalaştı.,5
CO490300,67,228,gram,iyi,Lisedeki matematik ve kimya dersleri herkesin korkulu rüyasıydı.,5
CO490300,68,225,gram,iyi,Kamp alanına soğuk ve gazlı içecek götürmemize gerek yokmuş.,5
CO490300,70,111,ungram,iyi,Zabıtalar işportacının ceza aldıklarına duydu.,5
CO490300,71,117,ungram,oldukça kötü,Mimarın tecrübeli olması herkesin işini daha kolaydı.,1
CO490300,73,201,gram,iyi,Doğum günü partisine arkadaşlarını ve akrabalarını çağırdılar.,5
CO490300,74,204,gram,iyi,Yeni düzenlemeler vatandaşları ve bakanları pek mutlu etmedi.,5
CO490300,76,112,ungram,oldukça kötü,Veliler için öğretmeni suçlamak kolay olduğunu düşünüyorlar.,1
CO490300,77,223,gram,oldukça iyi,Kahvaltı sofrasına sıcak ve taze ekmek olmadan oturulmaz.,6
CO490300,79,240,gram,oldukça kötü,Pelin bu dönemi hiç ödev ve sınav kaçırmadan tamamladı.,1
CO490300,80,226,gram,iyi sayılır,Yeni eve kışlık ve kalın yorgan almak için biraz daha bekleyeceklermiş.,4
CO490300,82,221,gram,kötü sayılır,Tamir çantasındaki araç ve gereçler doğru düzgün çalışmıyor.,3
CO490300,83,109,ungram,oldukça kötü,Çiçek veren adamın öldüğü kadına tanıyordum.,1
CO490300,85,239,gram,kötü sayılır,Murat yemekhanedeki ıspanak ve pırasa yemeklerinden nefret ediyor.,3
CO490300,86,224,gram,oldukça iyi,Yeni binadaki camlı ve ferah ofis her zaman çok temiz.,6
CO490300,88,102,ungram,kötü,Ahmet'in uskumruyu pişirmesi%2C Mehmet'in de ıstakozu duydum.,2
CO490300,89,220,gram,iyi,Umut son olaylardan sonra saygılı ve ileri görüşlü velilerden bu tepkiyi beklemiyordu.,5
CO490300,91,124,ungram,oldukça kötü,Sekreter kimsenin aradığını çoktan biliyordu.,1
CO490300,92,115,ungram,oldukça kötü,Kütüphaneciden öğrenciye çalışma salonunda sabahladığını duyuldu.,1
CO490300,94,113,ungram,oldukça kötü,Kameramanın görüntüleri sosyal medyaya yüklemiş mi diye duydum.,1
CO490300,95,123,ungram,oldukça kötü,Kimse doktor geldiğinde zaten şaşırdı.,1
CO438265,1,239,gram,oldukça iyi,Murat yemekhanedeki ıspanak ve pırasa yemeklerinden nefret ediyor.,6
CO438265,3,226,gram,oldukça iyi,Yeni eve kışlık ve kalın yorgan almak için biraz daha bekleyeceklermiş.,6
CO438265,4,208,gram,oldukça iyi,Metin severek kullandığı kırmızı ve kalın atkıyı geçenlerde kaybetmiş.,6
CO438265,6,213,gram,oldukça iyi,Selin televizyona ve tablete internet bağlamakta sorun yaşıyor.,6
CO438265,7,107,ungram,kötü sayılır,Bu işyeri yıllarca büyük emekler verip çalıştığımdır.,3
CO438265,9,221,gram,iyi,Tamir çantasındaki araç ve gereçler doğru düzgün çalışmıyor.,5
CO438265,10,110,ungram,kötü,Mühendisler herkese birbirlerinin işten attıklarını anlattılar.,2
CO438265,12,114,ungram,iyi sayılır,Ziyaretçiye göre kendisine tanınan sürenin belirlendiği biliyordu.,4
CO438265,13,217,gram,iyi,Tamirci oldukça ağır fırını ve buzdolabını işyerine taşımak zorunda kaldı.,5
CO438265,15,203,gram,oldukça iyi,Piknik alanına yüksek ve zorlu tepeleri aşarak varmamız gerekti.,6
CO438265,16,109,ungram,oldukça kötü,Çiçek veren adamın öldüğü kadına tanıyordum.,1
CO438265,18,212,gram,oldukça iyi,Mesut çiftlikteki koyunları ve inekleri her gün tek tek sayıyor.,6
CO438265,19,220,gram,iyi,Umut son olaylardan sonra saygılı ve ileri görüşlü velilerden bu tepkiyi beklemiyordu.,5
CO438265,21,215,gram,oldukça iyi,Deniz papatyalardan ve lalerden renkli bir buket yaptırmış.,6
CO438265,22,218,gram,oldukça iyi,Yolcular kaptandan ve mürettebattan bir istekte bulunmaya çekiniyor.,6
CO438265,24,123,ungram,oldukça kötü,Kimse doktor geldiğinde zaten şaşırdı.,1
CO438265,25,118,ungram,oldukça kötü,Kahve zammı sonrası öğrenciler çaya yönelmek şaşırtıcı oldu.,1
CO438265,27,204,gram,oldukça iyi,Yeni düzenlemeler vatandaşları ve bakanları pek mutlu etmedi.,6
CO438265,28,233,gram,iyi,Stilist mankenlerin çoğuna sırt ve bacak dekoltesini yakıştırıyor.,5
CO438265,30,228,gram,oldukça iyi,Lisedeki matematik ve kimya dersleri herkesin korkulu rüyasıydı.,6
CO438265,31,209,gram,oldukça iyi,Sevda beslenme çantasındaki elmayı ve armutu çürüyene kadar bekletmiş.,6
CO438265,33,236,gram,iyi,Ali'nin partide giydiği pantolon ve ceket henüz temizlenmemiş.,5
CO438265,34,103,ungram,oldukça kötü,Yarışmada ödül aldı kadar mutlu bir kızdı.,1
CO438265,36,231,gram,iyi,Zehra yeni evi için annesiyle çaydanlık ve tava seti almaya gitti.,5
CO438265,37,121,ungram,oldukça kötü,Yeni işe başlaması beri her sabah heyecanla uyanıyor.,1
CO438265,39,124,ungram,oldukça kötü,Sekreter kimsenin aradığını çoktan biliyordu.,1
CO438265,40,207,gram,oldukça iyi,Alışveriş merkezinde gördüğü pahalı ayakkabıya ve çantaya bayılmış.,6
CO438265,42,205,gram,iyi,Düğün günü koşturmaca arasında yaşlı ve yatalak dedesi ile de vedalaştı.,5
CO438265,43,101,ungram,oldukça kötü,Bugünkü yarışı kazanmak dostum Hasan çok istiyor.,1
CO438265,45,117,ungram,oldukça kötü,Mimarın tecrübeli olması herkesin işini daha kolaydı.,1
CO438265,46,119,ungram,oldukça kötü,Geminin limana yanaşmak için yavaşlamalıyım.,1
CO438265,48,227,gram,oldukça iyi,Ayşe dikiş kutusunda iğne ve iplik kalmadığını daha yeni fark etti.,6
CO438265,49,120,ungram,iyi sayılır,Arkadaşım uzun bir kahvaltı yapmayı ve dışarı çıkmak istedi.,4
CO438265,51,111,ungram,oldukça kötü,Zabıtalar işportacının ceza aldıklarına duydu.,1
CO438265,52,122,ungram,oldukça kötü,Geçen ay egzersiz yapıp sonra pes ettiğimdir.,1
CO438265,54,223,gram,oldukça iyi,Kahvaltı sofrasına sıcak ve taze ekmek olmadan oturulmaz.,6
CO438265,55,225,gram,oldukça iyi,Kamp alanına soğuk ve gazlı içecek götürmemize gerek yokmuş.,6
CO438265,57,219,gram,oldukça iyi,Toplantı boyunca müdürlerde ve öğretmenlerde gergin bir hava vardı.,6
CO438265,58,232,gram,oldukça iyi,Doktorlar ağız ve burun ile alınan mikropların tehlikeli olduğunu belirtiyor.,6
CO438265,60,235,gram,oldukça iyi,Nejla çizim ve boyama öğrenmek için yeni bir kursa kaydoldu.,6
CO438265,61,222,gram,oldukça iyi,Kantindeki çay ve kahve fiyatlarına felaket bir zam yapılmış.,6
CO438265,63,112,ungram,oldukça kötü,Veliler için öğretmeni suçlamak kolay olduğunu düşünüyorlar.,1
CO438265,64,224,gram,iyi,Yeni binadaki camlı ve ferah ofis her zaman çok temiz.,5
CO438265,66,102,ungram,oldukça kötü,Ahmet'in uskumruyu pişirmesi%2C Mehmet'in de ıstakozu duydum.,1
CO438265,67,210,gram,oldukça iyi,Kemal gazetecilerle ve yazarlarla yaptığı toplantıda önemli bilgiler paylaşmış.,6
CO438265,69,230,gram,oldukça iyi,Melek uzun ve molasız otobüs yolcukluklarını pek tercih etmediğini söyledi.,6
CO438265,70,115,ungram,oldukça kötü,Kütüphaneciden öğrenciye çalışma salonunda sabahladığını duyuldu.,1
CO438265,72,234,gram,iyi,Derya geçen ay peşinat ve depozito ödemeden yeni bir ev kiralamış.,5
CO438265,73,237,gram,oldukça iyi,Bilge alışveriş sitesinden değişim için ödeme fişi ve makbuzu isteyecek.,6
CO438265,75,211,gram,oldukça iyi,Belma mağazadaki parlak ve taşlı süslemeleri biraz demode buldu.,6
CO438265,76,106,ungram,oldukça kötü,Fazla içmiş senin gibi göründüğünün farkında değilsin anlaşılan.,1
CO438265,78,214,gram,oldukça iyi,Cem tavuklara ve horozlara yeni satılan pahalı yemden almış.,6
CO438265,79,108,ungram,kötü sayılır,Binalar yapılmaya yeni başlayan çalışanlar tarafından başlandı.,3
CO438265,81,216,gram,iyi,Osman doktordan ve hemşireden bir haber alabilmek için saatlerce bekledi.,5
CO438265,82,240,gram,oldukça iyi,Pelin bu dönemi hiç ödev ve sınav kaçırmadan tamamladı.,6
CO438265,84,105,ungram,oldukça kötü,Mehmet Ayça'ya dün akşam dedi ki birbirini işe alacak.,1
CO438265,85,238,gram,iyi,Leyla yıkama ve kurutma makinasının önündeki sırayı görünce geri döndü.,5
CO438265,87,113,ungram,oldukça kötü,Kameramanın görüntüleri sosyal medyaya yüklemiş mi diye duydum.,1
CO438265,88,206,gram,oldukça iyi,Çalışma masasındaki kitapları ve defterleri her zaman düzenli bırakır.,6
CO438265,90,104,ungram,iyi sayılır,Metin yeni çıkan romanı ve gazete okudu.,4
CO438265,91,202,gram,oldukça iyi,Hediye çekiyle çocuklara ve yaşlılara yeni birer ayakkabı alındı.,6
CO438265,93,116,ungram,kötü,Yavaş Hasan'ın konuşması rahatsız etmiş herkesi.,2
CO438265,94,201,gram,oldukça iyi,Doğum günü partisine arkadaşlarını ve akrabalarını çağırdılar.,6
CO438265,96,229,gram,oldukça iyi,Zeynep balo günü saç ve makyaj için yeni açılan kuaföre gitmiş.,6
CO420207,1,105,ungram,kötü,Mehmet Ayça'ya dün akşam dedi ki birbirini işe alacak.,2
CO420207,2,107,ungram,kötü sayılır,Bu işyeri yıllarca büyük emekler verip çalıştığımdır.,3
CO420207,4,116,ungram,iyi sayılır,Yavaş Hasan'ın konuşması rahatsız etmiş herkesi.,4
CO420207,5,112,ungram,kötü sayılır,Veliler için öğretmeni suçlamak kolay olduğunu düşünüyorlar.,3
CO420207,7,207,gram,iyi,Alışveriş merkezinde gördüğü pahalı ayakkabıya ve çantaya bayılmış.,5
CO420207,8,218,gram,iyi,Yolcular kaptandan ve mürettebattan bir istekte bulunmaya çekiniyor.,5
CO420207,10,239,gram,oldukça iyi,Murat yemekhanedeki ıspanak ve pırasa yemeklerinden nefret ediyor.,6
CO420207,11,223,gram,oldukça iyi,Kahvaltı sofrasına sıcak ve taze ekmek olmadan oturulmaz.,6
CO420207,13,215,gram,oldukça iyi,Deniz papatyalardan ve lalerden renkli bir buket yaptırmış.,6
CO420207,14,212,gram,oldukça iyi,Mesut çiftlikteki koyunları ve inekleri her gün tek tek sayıyor.,6
CO420207,16,123,ungram,oldukça kötü,Kimse doktor geldiğinde zaten şaşırdı.,1
CO420207,17,109,ungram,oldukça kötü,Çiçek veren adamın öldüğü kadına tanıyordum.,1
CO420207,19,202,gram,iyi,Hediye çekiyle çocuklara ve yaşlılara yeni birer ayakkabı alındı.,5
CO420207,20,228,gram,oldukça iyi,Lisedeki matematik ve kimya dersleri herkesin korkulu rüyasıydı.,6
CO420207,22,111,ungram,kötü,Zabıtalar işportacının ceza aldıklarına duydu.,2
